City_Name,16-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,missing_data
טייבה,35,291,352,428,515,716,378,133,21,< 15
טירה,20,282,450,473,560,660,382,109,< 15,< 15
טירת כרמל,18,159,377,505,748,1590,985,385,67,< 15
טלמון,27,121,128,195,173,24,< 15,< 15,< 15,
טמרה,31,442,649,837,918,923,471,171,19,< 15
יאנוח-ג'ת,< 15,45,69,76,66,88,45,< 15,,
יבנאל,< 15,19,33,37,91,159,102,46,16,
יבנה,44,321,731,1114,1235,2689,1819,405,110,< 15
יד בנימין,24,62,32,137,117,57,24,< 15,< 15,
יהוד,35,234,304,652,1000,1929,1631,600,143,< 15
יפיע,< 15,147,155,210,284,329,182,54,< 15,< 15
יקיר,< 15,24,39,86,55,46,39,< 15,,
יקנעם עילית,36,216,342,1016,1077,1188,839,363,53,
ירוחם,68,196,395,396,384,445,260,83,< 15,< 15
ירושלים,1180,7790,9775,11155,13949,23202,18944,10289,2958,< 15
ירכא,< 15,117,129,154,203,204,137,57,15,
כאבול,25,213,231,285,290,295,129,39,< 15,
כאוכב אבו אל-היג'א,< 15,58,73,118,109,99,77,20,< 15,
כוכב השחר,17,37,51,68,72,85,18,< 15,< 15,
כוכב יאיר,15,153,91,187,478,792,527,67,< 15,< 15
כוכב יעקב,15,59,61,63,72,73,30,< 15,< 15,
כסיפה,< 15,41,51,54,51,52,28,< 15,< 15,
כסרא-סמיע,< 15,57,63,71,100,91,51,< 15,,
כעביה-טבאש-חג'אג'רה,< 15,38,57,60,64,64,28,< 15,< 15,
כפר אדומים,19,85,107,169,129,127,42,< 15,< 15,
כפר ברא,< 15,41,45,37,52,54,24,< 15,,
כפר האורנים,15,53,23,113,259,63,27,< 15,,< 15
כפר ורדים,19,98,68,181,383,542,399,103,25,< 15
"כפר חב""ד",17,59,125,129,146,145,84,47,< 15,
כפר יאסיף,< 15,112,190,200,270,430,241,81,< 15,< 15
כפר יונה,45,205,326,781,822,1257,821,224,24,< 15
כפר כמא,,31,49,90,121,220,125,39,< 15,
כפר כנא,77,446,506,644,685,650,310,80,< 15,
כפר מנדא,< 15,151,261,245,311,308,141,48,< 15,< 15
כפר מצר,< 15,24,26,24,57,36,< 15,< 15,,
כפר סבא,160,887,1552,3457,3245,6345,6756,2733,869,63
כפר קאסם,< 15,214,302,433,481,453,218,60,< 15,< 15
כפר קרע,18,222,324,379,379,477,217,64,< 15,< 15
כפר תבור,< 15,56,73,233,301,343,233,44,< 15,
כרמיאל,57,351,689,1321,1487,2845,2189,860,220,
לא ידוע,,,< 15,,,,< 15,,,
להבים,95,230,168,367,624,568,387,124,< 15,< 15
לוד,63,350,773,926,1565,2675,1912,1002,197,< 15
לפיד,< 15,49,< 15,77,212,154,36,< 15,< 15,
לקיה,< 15,37,40,36,38,36,20,< 15,< 15,< 15
מבוא חורון,< 15,25,36,61,28,38,32,< 15,,
מבשרת ציון,69,398,522,784,1048,1849,1549,531,79,< 15
מגאר,38,284,383,388,527,557,296,111,< 15,
מג'ד אל-כרום,< 15,126,165,182,237,300,143,50,< 15,
מגדל העמק,18,136,250,445,840,1464,1037,444,93,
מג'דל שמס,18,115,171,328,368,285,196,46,< 15,
מודיעין עילית,113,375,395,613,290,250,191,59,< 15,
מודיעין-מכבים-רעות,245,1131,1116,4012,4873,4574,2753,1190,169,15
מוקייבלה,< 15,39,45,63,82,58,32,< 15,,
מזכרת בתיה,34,157,202,599,658,735,485,139,21,< 15
מזרעה,< 15,45,64,49,90,116,33,16,,
מייסר,,22,28,50,71,60,28,< 15,< 15,
מיתר,95,268,248,637,653,602,372,120,15,< 15
מסעדה,< 15,28,57,96,83,79,51,< 15,< 15,
מסעודין אל-עזאזמה,,< 15,< 15,< 15,< 15,,< 15,,,
מעגלים,< 15,31,34,38,74,82,23,< 15,< 15,
מעגן מיכאל,< 15,24,33,66,97,122,124,44,33,
מעיליא,< 15,57,60,70,87,130,111,68,16,
מעלה אדומים,88,531,682,1182,1561,2053,1047,451,82,< 15
מעלה עירון,24,168,176,177,228,264,117,31,< 15,< 15
מעלות-תרשיחא,30,229,308,469,665,1039,586,255,75,
מצפה יריחו,< 15,42,32,47,37,73,15,< 15,,
מצפה רמון,< 15,42,71,80,86,166,83,37,< 15,
מרכז שפירא,< 15,53,37,45,90,157,71,22,< 15,< 15
משהד,< 15,69,90,114,122,112,62,17,< 15,
מתן,23,79,34,93,330,173,60,25,< 15,
נאעורה,< 15,20,26,28,38,39,33,< 15,,
נהריה,61,475,868,1672,2223,4007,3341,1395,349,< 15
נווה דניאל,21,49,75,91,101,75,24,15,,
נוף איילון,17,93,30,41,185,177,29,< 15,< 15,
נוף הגליל,59,332,562,845,1237,2071,1680,868,208,< 15
נופית,16,54,32,132,233,204,152,17,< 15,
נוקדים,< 15,18,67,51,39,30,26,< 15,,
נחף,< 15,95,141,148,153,185,88,27,,
ניצן,< 15,40,37,41,90,107,35,20,< 15,
נס ציונה,54,422,615,2097,2004,2623,2252,736,162,< 15
נעלה,< 15,< 15,26,78,55,58,29,< 15,< 15,
נצרת,75,765,1035,1103,1420,2124,1241,534,69,< 15
נשר,59,244,398,638,921,1613,1063,536,112,< 15
נתיבות,40,243,504,468,569,916,412,226,37,< 15
נתניה,209,1291,2036,3842,5045,10573,10123,4605,1121,18
סאג'ור,< 15,33,66,118,85,108,55,15,< 15,
סביון,16,96,56,178,291,347,300,137,41,< 15
סולם,< 15,24,33,46,76,73,47,< 15,,
סח'נין,81,828,1032,1313,1410,1057,506,182,17,
סייד (שבט),,< 15,,,< 15,,< 15,,,
סלמה,< 15,38,30,59,52,53,40,< 15,< 15,
ע'ג'ר,,< 15,19,< 15,< 15,< 15,< 15,< 15,,
עוזייר,< 15,28,44,31,28,30,26,< 15,,
עומר,59,190,177,508,482,582,634,279,67,20
עיילבון,18,111,162,176,188,252,136,56,< 15,
עילוט,< 15,33,46,41,49,54,28,< 15,< 15,< 15
עין מאהל,< 15,99,142,127,136,161,72,< 15,,
עין נקובא,< 15,19,20,35,42,44,< 15,< 15,,
עין קנייא,< 15,46,86,120,70,56,29,< 15,,
עכו,46,462,833,1142,1505,2823,1873,805,118,< 15
עלי,< 15,48,49,64,45,40,18,< 15,< 15,
עלי זהב,< 15,18,188,85,23,29,16,< 15,< 15,
עמנואל,< 15,< 15,< 15,< 15,16,40,34,< 15,< 15,
עספיא,17,113,165,253,263,397,251,90,< 15,< 15
עפולה,35,354,736,1480,1853,3289,2170,845,171,< 15
עפרה,< 15,65,47,103,110,115,68,24,< 15,
