UID,total_pop,pop_4-0,pop_9-5,pop_14-10,pop_19-15,pop_24-20,pop_29-25,pop_34-30,pop_39-35,pop_44-40,pop_49-45,pop_54-50,pop_59-55,pop_64-60,pop_69-65,pop_74-70,pop_79-75,pop_84-80,pop_+85
248,766,67,87,73,56,33,27,33,60,59,63,33,27,26,27,37,25,24,7
747,863,77,94,76,63,57,60,62,53,58,44,37,32,54,40,26,13,11,6
252,152,12,14,12,6,6,4,6,7,16,7,4,9,..,12,5,11,10,8
94,528,48,62,49,27,27,28,31,34,50,32,31,16,22,23,23,9,8,9
760,1132,124,97,105,110,79,89,74,53,51,82,72,59,41,33,18,19,13,14
712,766,69,82,50,40,37,55,49,55,56,39,54,47,40,32,19,8,12,22
2013,870,85,81,85,69,45,24,39,55,74,82,59,42,36,38,34,11,6,4
1363,770,148,173,131,58,29,36,53,55,31,21,15,9,8,..,..,..,0,0
448,964,69,103,99,66,53,54,47,62,93,76,44,41,51,34,28,12,11,21
418,1370,100,115,135,136,102,55,47,76,106,86,110,77,62,71,54,15,8,15
588,1417,147,134,154,155,132,82,71,72,87,112,65,55,39,43,32,15,10,10
685,798,64,94,73,54,49,36,35,63,56,41,61,33,45,45,26,7,5,9
389,1213,91,123,130,111,75,30,42,70,95,112,105,42,42,56,51,15,8,15
589,295,27,30,19,15,10,16,25,29,24,7,21,12,15,16,14,6,..,7
864,786,90,77,52,48,60,42,50,71,59,48,38,48,35,36,12,6,11,..
3612,182,19,25,18,11,..,..,11,16,16,16,5,4,..,14,14,..,0,0
823,674,89,51,51,46,37,56,55,46,47,24,31,28,40,27,16,10,6,11
2060,564,67,66,61,60,33,24,29,40,44,37,29,12,13,14,15,8,6,5
746,1274,135,124,120,184,136,73,68,51,45,61,64,50,52,52,12,12,13,22
141,411,34,25,36,22,27,26,30,28,25,24,21,23,21,16,22,13,13,5
33,656,53,71,75,44,37,34,41,44,67,38,39,32,29,23,18,5,..,6
872,359,35,36,31,10,12,19,17,29,34,19,17,14,24,21,10,11,12,9
379,968,77,86,92,69,55,52,59,60,71,63,55,54,45,46,28,19,13,24
853,973,66,75,66,70,96,50,46,44,70,76,73,45,58,36,32,18,24,26
683,1200,99,134,128,101,60,50,71,83,98,85,68,50,50,43,45,12,12,11
2014,386,33,46,42,30,23,18,33,29,22,28,12,18,15,15,7,5,5,5
207,374,32,27,38,15,20,11,20,26,32,17,21,13,25,29,14,13,8,14
4021,707,63,82,77,41,29,24,31,67,81,44,25,8,26,38,55,13,..,0
787,1455,139,130,98,132,121,81,96,102,77,73,89,92,79,64,29,24,17,12
919,824,65,79,108,60,57,40,43,53,54,67,62,30,35,36,28,4,..,..
802,903,94,88,83,57,74,56,62,51,60,44,64,41,38,38,10,17,14,13
360,730,50,74,87,60,39,28,37,52,68,51,39,42,38,26,18,5,5,10
1077,410,26,31,54,41,25,7,13,17,20,42,31,20,7,19,19,12,8,18
793,1047,129,118,86,74,67,65,70,74,63,60,56,43,42,38,22,18,14,9
145,397,29,23,28,40,31,35,23,7,15,28,32,38,19,6,8,10,15,10
755,426,44,28,20,25,37,27,42,16,23,17,31,32,31,22,6,9,10,8
706,969,90,100,88,66,51,41,45,85,81,62,41,38,46,63,44,15,9,..
736,1451,128,164,130,127,99,100,85,107,109,94,73,60,54,45,26,18,10,18
863,918,89,83,84,64,52,43,66,53,75,71,50,42,43,36,47,11,4,7
3613,504,81,106,97,10,6,14,40,58,37,12,..,6,10,16,5,..,0,0
745,1206,143,171,151,96,63,57,70,70,90,72,53,30,38,55,32,9,5,..
1072,636,43,87,64,35,28,30,38,51,65,33,28,26,19,23,18,16,19,12
225,861,73,66,78,65,49,34,57,60,62,64,49,51,39,31,30,22,17,15
239,816,55,66,59,62,57,46,41,46,48,52,58,51,62,51,27,12,11,12
734,997,65,81,105,103,76,57,42,46,56,77,84,70,48,40,21,10,9,7
311,694,36,57,76,49,38,45,37,38,58,46,42,36,49,34,29,6,11,6
836,587,50,38,54,41,34,35,40,27,50,46,25,30,28,31,28,13,10,8
862,621,54,53,47,41,38,31,33,32,56,40,33,36,33,43,28,12,6,5
39,410,40,46,32,25,19,25,22,37,33,17,16,31,14,14,15,13,5,5
146,217,18,21,20,14,12,10,10,14,15,10,14,9,11,8,8,8,8,7
1067,483,41,40,36,33,40,44,28,32,21,34,26,30,23,16,15,10,12,4
738,443,69,36,12,13,16,28,62,49,18,14,9,30,42,17,5,0,9,12
2063,333,21,11,22,27,23,31,23,16,13,13,17,36,20,27,10,9,7,7
431,862,72,76,80,80,94,73,46,36,42,44,57,58,30,29,7,13,11,14
1241,350,37,37,41,17,17,11,18,33,34,19,19,8,6,27,14,8,..,..
191,675,53,76,80,63,32,18,21,33,49,67,51,31,24,22,27,14,11,4
726,548,56,69,52,40,25,21,28,29,39,43,20,19,19,20,18,20,21,10
307,1060,128,150,125,213,44,39,60,65,60,37,19,13,31,41,19,10,4,..
684,711,97,89,47,27,23,33,48,79,54,23,16,21,45,55,28,7,..,17
3639,341,35,48,38,25,19,16,19,24,36,25,10,11,11,16,6,..,..,0
815,559,77,56,44,43,37,49,38,28,26,18,30,32,31,25,7,4,7,7
44,350,37,40,23,17,16,29,30,26,23,15,12,12,27,18,13,6,4,..
788,1064,84,86,96,83,88,64,63,75,79,65,45,58,50,57,36,18,9,9
799,1124,101,105,93,84,90,72,72,76,68,70,75,67,39,36,23,22,13,18
1065,624,91,103,65,36,21,40,47,45,39,29,24,24,24,13,..,4,10,8
816,524,47,44,45,50,41,40,33,20,33,28,35,32,27,19,10,12,5,4
2064,468,55,54,42,40,26,25,33,25,39,31,26,16,16,20,9,..,6,..
818,729,67,73,91,80,63,50,36,30,40,43,34,41,18,19,20,13,9,4
235,482,27,30,51,64,21,17,20,31,30,28,30,27,18,25,31,12,13,7
717,1162,103,105,112,99,55,57,58,80,110,94,64,54,46,52,23,21,12,16
205,865,47,83,111,121,58,18,25,33,52,107,79,38,10,19,24,16,18,6
618,875,97,93,80,66,57,33,44,55,63,65,59,35,34,38,28,11,8,8
662,1135,103,131,130,96,61,49,74,78,79,77,60,71,39,31,31,10,8,7
1047,306,33,32,20,13,5,15,27,22,17,9,11,5,12,41,31,7,..,..
219,727,85,90,61,48,32,29,37,58,61,39,36,30,37,31,20,17,7,9
162,1298,78,112,152,137,96,45,33,56,92,127,106,85,50,27,33,25,23,21
820,455,37,43,37,26,28,32,20,26,28,34,30,27,18,19,17,13,7,11
801,1316,122,164,148,175,174,50,65,80,104,42,22,32,38,40,27,9,6,19
3609,173,18,18,8,46,6,6,8,11,10,6,6,0,..,8,13,4,..,0
807,923,57,74,68,62,71,58,60,54,41,53,70,65,63,55,46,6,6,16
700,1486,144,171,149,99,91,81,102,86,80,103,91,61,74,59,37,22,20,13
13,620,56,69,61,74,19,17,37,38,45,46,14,17,16,41,60,6,..,..
422,972,57,63,64,267,104,37,36,32,57,55,44,36,25,36,30,8,7,13
663,1201,112,126,142,111,93,73,60,46,79,93,63,47,33,38,33,31,12,8
462,1369,136,156,133,117,72,55,71,105,118,105,81,46,44,45,36,19,18,15
1214,478,63,56,53,40,64,42,39,27,19,12,8,16,29,6,..,..,0,0
1232,338,44,49,36,19,6,7,20,38,30,30,4,4,10,31,10,0,0,..
798,918,84,91,87,70,72,51,53,58,62,51,63,43,44,35,23,10,11,9
775,666,61,57,64,55,27,36,45,53,65,42,23,33,30,35,20,4,9,6
64,1124,99,87,110,89,75,85,66,72,66,81,60,53,56,39,31,17,13,24
2009,638,38,53,70,47,39,65,41,20,46,42,34,27,39,33,25,8,8,..
803,683,98,114,77,55,35,37,43,39,46,26,26,16,22,17,19,8,5,..
811,734,82,76,65,40,41,46,48,46,57,48,44,33,24,17,14,22,18,15
753,936,81,66,84,60,66,63,58,52,69,58,44,57,50,52,26,20,7,21
2011,1197,133,103,94,96,94,94,92,64,59,73,73,67,38,32,21,30,17,16
1138,690,32,61,73,70,66,34,10,28,46,58,54,54,28,46,25,4,..,0
795,752,73,63,68,57,56,47,50,52,37,56,39,47,37,28,15,12,11,5
3566,202,32,26,23,9,7,11,19,19,9,14,7,..,6,7,6,5,0,0
759,822,79,69,57,53,62,66,54,43,54,41,46,58,48,29,17,14,14,17
241,1401,132,135,117,97,78,59,70,93,103,90,58,56,62,88,91,33,21,17
2026,371,31,35,39,22,16,28,19,30,27,20,21,17,21,16,13,7,5,6
718,1082,92,89,78,99,83,91,72,48,51,64,81,85,62,27,9,13,16,20
183,360,14,12,37,36,39,22,..,13,15,38,35,20,12,14,15,10,13,11
916,413,29,37,45,36,26,15,20,21,38,40,27,10,19,16,18,8,7,..
805,771,94,86,64,47,54,52,56,45,55,38,33,32,35,18,15,23,12,10
828,1001,115,96,73,65,65,53,81,62,79,61,53,63,48,37,17,10,12,12
1227,508,73,67,46,24,19,18,39,67,46,26,15,14,21,27,..,..,0,..
824,1052,83,143,130,88,50,35,40,64,112,81,42,36,35,58,27,10,7,10
1210,442,43,45,31,17,21,30,42,34,36,14,13,29,41,33,13,..,0,0
1229,238,44,23,12,13,17,25,30,16,5,..,7,12,22,8,..,..,0,0
1291,188,21,29,21,12,21,9,5,11,17,21,11,8,..,..,0,0,0,0
4028,461,29,52,51,41,45,49,13,21,32,36,39,48,5,..,..,0,0,0
859,428,43,36,40,40,31,25,30,33,19,27,20,23,22,6,12,10,7,..
857,822,72,97,72,63,49,33,44,48,66,69,40,35,21,34,38,15,12,15
364,947,85,135,117,69,54,31,39,54,98,91,39,43,29,30,15,6,4,8
690,877,91,97,84,68,53,44,49,71,61,59,35,40,40,54,19,..,..,8
220,855,62,64,145,152,30,28,47,47,50,43,27,25,22,38,35,15,15,12
177,1258,94,101,101,72,82,72,62,80,78,90,80,93,63,39,49,35,36,32
2010,749,66,89,86,42,37,28,33,42,84,59,35,40,31,36,23,7,8,4
